Q(Å⁻¹)	Intensity	Error
1.052942616612586313e-01	1.545199887096923401e-04	1.545199887096923392e-06
1.057789868177365367e-01	2.617852716788971541e-04	2.617852716788971762e-06
1.062633220866576189e-01	3.377406882679016040e-04	3.377406882679016158e-06
1.067472656828251931e-01	3.557148708194981385e-04	3.557148708194981351e-06
1.072308158224862668e-01	3.200564118864921846e-04	3.200564118864921829e-06
1.077139707233380483e-01	2.214883140228985769e-04	2.214883140228985616e-06
1.081967286045345394e-01	1.353861814773476971e-04	1.353861814773477073e-06
1.086790876866931405e-01	6.667841914301920287e-05	6.667841914301919949e-07
1.091610461919011454e-01	5.508217233553760355e-05	5.508217233553760694e-07
1.096426023437223202e-01	9.566903616172321473e-05	9.566903616172322320e-07
1.101237543672034802e-01	1.727840774314758543e-04	1.727840774314758602e-06
1.106045004888809302e-01	2.371432472129987590e-04	2.371432472129987708e-06
1.110848389367872086e-01	2.762805801882491194e-04	2.762805801882491245e-06
1.115647679404573878e-01	2.327946546601931423e-04	2.327946546601931525e-06
1.120442857309357082e-01	1.951068525358779242e-04	1.951068525358779343e-06
1.125233905407820728e-01	1.084249076499529767e-04	1.084249076499529708e-06
1.130020806040786668e-01	5.508217233553760355e-05	5.508217233553760694e-07
1.134803541564362445e-01	3.478874042244479796e-05	3.478874042244479881e-07
1.139582094350009012e-01	6.812794999395441295e-05	6.812794999395440914e-07
1.144356446784603465e-01	1.324871197754773041e-04	1.324871197754773092e-06
1.149126581270504960e-01	2.133709412576614655e-04	2.133709412576614553e-06
1.153892480225619660e-01	2.800493604006806412e-04	2.800493604006806548e-06
1.158654126083465269e-01	3.038216663560179076e-04	3.038216663560179280e-06
1.163411501293235839e-01	2.614953655087100932e-04	2.614953655087100898e-06
1.168164588319866443e-01	1.953967587060649581e-04	1.953967587060649784e-06
1.172913369644098119e-01	1.092946261605140783e-04	1.092946261605140817e-06
1.177657827762541437e-01	5.102348595291904786e-05	5.102348595291905379e-07
1.182397945187742827e-01	1.681455787084832105e-05	1.681455787084832190e-07
1.187133704448246896e-01	3.391902191188368276e-05	3.391902191188368255e-07
1.191865088088662344e-01	7.914438446106193095e-05	7.914438446106193477e-07
1.196592078669726222e-01	1.472723344550163304e-04	1.472723344550163439e-06
1.201314658768366933e-01	2.148204721085966891e-04	2.148204721085966755e-06
1.206032810977770292e-01	2.548275235944081783e-04	2.548275235944082037e-06
1.210746517907441977e-01	2.429413706167395451e-04	2.429413706167395671e-06
1.215455762183272614e-01	2.014847882799928051e-04	2.014847882799928187e-06
1.220160526447601756e-01	1.365458061580958598e-04	1.365458061580958623e-06
