BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
0.00122428	0.00124247	0.00192127	0.00172914	0.0018825	0.00122618	315.45
0.00122327	0.00124345	0.00191982	0.00172643	0.00188098	0.00122538	315.5
0.00122227	0.00124479	0.00191843	0.00172481	0.00187962	0.00122464	315.55
0.00122128	0.00124617	0.00191706	0.00172377	0.00187834	0.0012239	315.6
0.00122029	0.00124756	0.00191569	0.00172316	0.00187711	0.00122316	315.65
0.0012193	0.00124895	0.00191432	0.0017229	0.00187591	0.00122242	315.7
0.00121831	0.00125037	0.00191293	0.00172298	0.00187474	0.00122169	315.75
0.00121732	0.0012518	0.00191152	0.00172342	0.00187358	0.00122095	315.8
0.00121633	0.00125324	0.00191006	0.00172433	0.00187242	0.00122021	315.85
0.00121536	0.00125465	0.00190852	0.0017259	0.00187126	0.00121948	315.9
0.00121446	0.00125557	0.00190681	0.00172865	0.00187007	0.00121877	315.95
0.00121389	0.00125452	0.00190512	0.00173146	0.0018689	0.00121816	316.0
0.00121341	0.00125296	0.00190365	0.00173319	0.00186781	0.00121757	316.05
0.00121293	0.00125139	0.00190228	0.00173443	0.00186677	0.00121698	316.1
0.00121245	0.00124983	0.00190099	0.00173538	0.00186576	0.00121639	316.15
0.00121197	0.00124827	0.00189976	0.0017361	0.00186479	0.0012158	316.2
0.0012115	0.00124672	0.00189859	0.00173663	0.00186385	0.00121521	316.25
0.00121102	0.00124517	0.00189749	0.001737	0.00186295	0.00121462	316.3
0.00121054	0.00124363	0.00189645	0.00173721	0.0018621	0.00121404	316.35
0.00121006	0.00124208	0.00189551	0.00173726	0.00186132	0.00121345	316.4
0.00120952	0.00124062	0.00189479	0.00173693	0.00186068	0.00121281	316.45
0.00120862	0.00123977	0.00189408	0.00173658	0.00186006	0.00121192	316.5
0.00120765	0.00123897	0.00189317	0.00173656	0.0018593	0.00121097	316.55
0.00120667	0.00123815	0.00189217	0.00173663	0.00185845	0.00121001	316.6
0.00120569	0.00123734	0.00189109	0.00173677	0.00185756	0.00120905	316.65
0.00120472	0.00123653	0.00188997	0.00173699	0.00185662	0.0012081	316.7
0.00120375	0.00123573	0.00188879	0.00173729	0.00185565	0.00120714	316.75
